"rid","abstractText","abstractShort","title","manifestUrl","mainTitle","altTitle"
"MS-ADD-01691-00003","<p style='text-align: justify;'>This Nepalese palm-leaf manuscript from the 15th century contains a tantric initiation manual called <i>Abhiṣekavidhi</i>, which describes the rituals to be performed at various stages of the consecration procedure (carefully marked with a final rubric for each subsection). This manual is apparently an excerpt from the <i>Vajrāvalī</i> of Abhayākaragupta, a long and complex work on tantric rituals.</p>","This Nepalese palm-leaf manuscript from the 15th century contains a tantric initiation manual called Abhiṣekavidhi, which","Abhiṣekavidhi","https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01691-00003"
"MS-ADD-01706-00008","<p style='text-align: justify;'>A palm-leaf manuscript of the <i>Lakṣaṇa</i>.</p>","A palm-leaf manuscript of the Lakṣaṇa.","Lakṣaṇa","https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01706-00008"
"MS-ADD-01411","<p style='text-align: justify;'>A paper manuscript of the <i></i>.</p>","A paper manuscript of the .","Bhadrakalpāvadāna","https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01411"
"MS-OR-02258","<p style='text-align: justify;'> The <i>Pañcarakṣā</i> corpus (""Five Protections"") consists of the <i>Mahāpratisarā</i>, <i>Mahāmāyūrī</i>, <i>Mahāsāhasrapramardanī</i>, <i>Mahāmantrānusāriṇī</i>, and <i>Mahāśītavatī</i>. The earliest evidence for texts grouped together as the ""Five Great Dhāraṇīs"" comes from Tibetan catalogues around 800 CE, but this compendium is somewhat different from the surviving Sanskrit collection, which is preserved in manuscripts dating back to the eleventh century. These scriptures include spells, enumerations of benefits and ritual instructions for use. With the course of time all of them became deified and five related goddesses emerged. It is, however, important to note that the texts themselves do not have any references to these goddesses. According to the colophon, this beautifully illuminated manuscript was written with golden ink on indigo-dyed paper in1695 CE, during the shared reign of three kings, Jitāmitramalla (in the manuscript called Jitāmṛtamalla), Ugramalla and Bhūpatīndramalla (in the manuscript called Indrapratīndramalla). The manuscript was commissioned as an object of worship, probably by a group of Buddhist monks. The first one named is Śrīdevamuni , who seemed to be the major donor; another monk named is Śrījñāna , from the Jetavanamahāvihāra in Bhaktapur (however according to Locke (1985: 462) this <i>vihāra</i> is situated in the village of Thimi near Bhaktapur). Even if commissioned by monks living in Bhaktapur, the manuscript has been written in Kathmandu (the then capital of an independent, separate kingdom). </p>"," The Pañcarakṣā corpus (""Five Protections"") consists of the Mahāpratisarā, Mahāmāyūrī, Mahāsāhasrapramardanī, Mahāmantrānusāriṇī,","Pañcarakṣā","https://cudl.lib.cam.ac.uk/iiif/MS-OR-02258"
"MS-OR-00728-00003","<p style='text-align: justify;'>One of several palm-leaf fragments collected in one bundle under the classmark Or.728. A note on the paper sleeve identifies it as the beginning of the <i>Ādikarmapradīpa</i>.</p>","One of several palm-leaf fragments collected in one bundle under the classmark Or.728. A note on the paper sleeve identifies","Ādikarmapradīpa","https://cudl.lib.cam.ac.uk/iiif/MS-OR-00728-00003"
"MS-ADD-01586","<p style='text-align: justify;'>A paper manuscript of the <i>Rāṣṭrapālaparipṛcchā</i>.</p>","A paper manuscript of the Rāṣṭrapālaparipṛcchā.","Rāṣṭrapālaparipṛcchā","https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01586"
"MS-ADD-02199","<p style='text-align: justify;'>A palm-leaf manuscript of an <i>Unidentified Collection</i>.</p>","A palm-leaf manuscript of an Unidentified Collection.","Unidentified Collection","https://cudl.lib.cam.ac.uk/iiif/MS-ADD-02199"
"MS-ADD-01691-00002","<p style='text-align: justify;'> A certain Rāṇaṭhaku commmissioned this Nepalese palm-leaf manuscript from the second half of the 12th century. The exact date is now illegible. Dr. D. Wright read it as Nepāla 299, but, as argued by Petech (1984: 64), this seems to be impossible because the date would fall outside the reign of Ānandadeva (1099-1167), the king supposedly mentioned in the colophon, although the portion with his name is now almost completely broken off. Moreover, the date read by Dr. D. Wright cannot be verified, while it might be verified for the following days: Saturday, October 8th, 1149; October 4th, 1152; October 20th, 1156; October 17th, 1158; November 5th, 1166. The manuscript contains a Buddhist text called <i>Kurukullākalpa</i>, a ritual manual dedicated to the tantric goddess Kurukullā. The work is divided into a few chapters with various ritual instructions, including obtaining supernatural powers (<i>siddhi</i>). This manuscript was used in the critical edition done by the 84000 project in 2011. </p>"," A certain Rāṇaṭhaku commmissioned this Nepalese palm-leaf manuscript from the second half of the 12th century. The exact","Kurukullākalpa","https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01691-00002"
"MS-ADD-01164-00001","<p style='text-align: justify;'> The <i>Pañcarakṣā</i> corpus (""Five Protections"") consists of the <i>Mahāpratisarā</i>, <i>Mahāmāyūrī</i>, <i>Mahāsāhasrapramardanī</i>, <i>Mahāmantrānusāriṇī</i>, and <i>Mahāśītavatī</i>. The earliest evidence for texts grouped together as the ""Five Great Dhāraṇīs"" comes from Tibetan catalogues around 800 CE, but this compendium is somewhat different from the surviving Sanskrit collection, which is preserved in manuscripts dating back to the eleventh century. These scriptures include spells, enumerations of benefits and ritual instructions for use. With the course of time all of them became deified and five related goddesses emerged. It is, however, important to note that the texts themselves do not have any references to these goddesses. This illuminated paper manuscript in an ornate script is probably to be dated to the 17th century. </p>"," The Pañcarakṣā corpus (""Five Protections"") consists of the Mahāpratisarā, Mahāmāyūrī, Mahāsāhasrapramardanī, Mahāmantrānusāriṇī,","Pañcarakṣā","https://cudl.lib.cam.ac.uk/iiif/MS-ADD-01164-00001"
"MS-OR-00715-00001","<p style='text-align: justify;'> This fragmentary palm-leaf manuscript is part of a bundle of a few manuscripts (Or.715), all seemingly composed of collections of <i>Buddhist <i>stotra</i>s</i>. Five different manuscripts, all from around the 12th-13th century, have been tentatively identified on paleographical and codicological grounds. Further research might shed more light on the subdivision of the whole manuscript bundle. A surviving colophon refers to the <i>Avalokiteśvarasya Nāmāṣṭaśataka</i>. </p>"," This fragmentary palm-leaf manuscript is part of a bundle of a few manuscripts (Or.715), all seemingly composed of collections","Āryāvalokiteśvarasya Nāmāṣṭaśatakam","https://cudl.lib.cam.ac.uk/iiif/MS-OR-00715-00001","Āryāvalokiteśvarasya Nāmāṣṭaśatakam","Sarvajinadhāturatnakaraṇḍaka nāma Bhagavato
                                Āryāvalokiteśvarasya Nāmāṣṭaśatakam"
"MS-OR-00130","<p style='text-align: justify;'> The <i>Pañcarakṣā</i> corpus (""Five Protections"") consists of the <i>Mahāpratisarā</i>, <i>Mahāmāyūrī</i>, <i>Mahāsāhasrapramardanī</i>, <i>Mahāmantrānusāriṇī</i>, and <i>Mahāśītavatī</i>. The earliest evidence for texts grouped together as the ""Five Great Dhāraṇīs"" comes from Tibetan catalogues around 800 CE, but this compendium is somewhat different from the surviving Sanskrit collection, which is preserved in manuscripts dating back to the eleventh century. These scriptures include spells, enumerations of benefits and ritual instructions for use. With the course of time all of them became deified and five related goddesses emerged. It is, however, important to note that the texts themselves do not have any references to these goddesses. This manuscript consists of just a fragment of the last folio, and of original wooden covers bearing extremly refined illuminations with episodes of Buddhist religious history. However, the two covers most probably belonged to another manuscript, since the distance between the two string holes is ca. 14 cm in the fragment and 18 cm in the covers. According to the colophon, the manuscript was written 275 Nepāla Saṃvat, i.e. 1155 CE, in the Hnogal Tol in Pātan (<i>śrīlalitabrumāyāṃ śrīhnāgalaṭolke</i> in the manuscript) (""Hnogal Tol is the same as the Nogalasthāna [...] in the <i class='error' style='font-style:normal;' title='This text in error in source'>Sundhara</i><i class='delim' style='font-style:normal; color:red'>(!)</i> ward in Patan"", Petech 1984: 62). After the colophon, a note in Newarī language and Nepālākṣarā script has been added by a previous owner of the manuscript, with the date 812 Nepāla Saṃvat, i.e. 1692 CE, given in the <i>bhūtasaṅkhyā</i> system (<i>samvat netram eka mātrikā</i>). </p>"," The Pañcarakṣā corpus (""Five Protections"") consists of the Mahāpratisarā, Mahāmāyūrī, Mahāsāhasrapramardanī, Mahāmantrānusāriṇī,","Pañcarakṣā","https://cudl.lib.cam.ac.uk/iiif/MS-OR-00130"
"MS-OR-00728-00008","<p style='text-align: justify;'>One of several palm-leaf fragments collected in one bundle under the classmark Or.728. A single-folio fragment of the <i>Bodhicaryāvatāra</i> (end of chapter 6 and beginnig of chapter 7)..</p>","One of several palm-leaf fragments collected in one bundle under the classmark Or.728. A single-folio fragment of the Bodhicaryāvatāra","Bodhicaryāvatāra","https://cudl.lib.cam.ac.uk/iiif/MS-OR-00728-00008"
